id,properties,parameters,base,baseValue,real,estimate,normalize
11,Magnitude,VibrationDuration,300,1,360,1.15,1.2602739726027397
11,Magnitude,VibrationIntensity,1.2,1,0.6,0.6,0.6956521739130435
11,Magnitude,VibrationIntensity,1.2,1,0.9,0.9,1.0434782608695652
11,Magnitude,VibrationIntensity,1.2,1,1.2,1.0,1.1594202898550725
11,Magnitude,VibrationIntensity,1.2,1,1.5,0.95,1.1014492753623186
11,Magnitude,VibrationPattern,100,1,200,0.9,0.9600000000000001
11,Magnitude,VibrationPattern,100,1,100,0.95,1.0133333333333332
11,Magnitude,VibrationPattern,100,1,150,1.0,1.0666666666666667
11,Magnitude,VibrationPattern,100,1,50,0.9,0.9600000000000001
11,Size,VibrationDuration,300,1,180,0.65,0.8387096774193549
11,Size,VibrationDuration,300,1,240,0.7,0.9032258064516128
11,Size,VibrationDuration,300,1,300,1.0,1.2903225806451613
11,Size,VibrationDuration,300,1,360,0.75,0.9677419354838709
11,Size,VibrationIntensity,1.2,1,0.6,0.4,0.4705882352941177
11,Size,VibrationIntensity,1.2,1,0.9,0.9,1.0588235294117647
11,Size,VibrationIntensity,1.2,1,1.2,1.0,1.1764705882352942
11,Size,VibrationIntensity,1.2,1,1.5,1.1,1.2941176470588236
11,Size,VibrationPattern,100,1,200,0.9,0.888888888888889
11,Size,VibrationPattern,100,1,100,1.0,0.9876543209876544
11,Size,VibrationPattern,100,1,150,1.0,0.9876543209876544
11,Size,VibrationPattern,100,1,50,1.15,1.1358024691358024
11,Stiffness,VibrationDuration,300,1,180,0.8,0.7619047619047619
11,Stiffness,VibrationDuration,300,1,240,1.05,1.0
11,Stiffness,VibrationDuration,300,1,300,1.15,1.0952380952380951
11,Stiffness,VibrationDuration,300,1,360,1.2,1.1428571428571428
11,Stiffness,VibrationIntensity,1.2,1,0.6,0.7,0.7368421052631579
11,Stiffness,VibrationIntensity,1.2,1,0.9,0.9,0.9473684210526316
11,Stiffness,VibrationIntensity,1.2,1,1.2,1.0,1.0526315789473684
11,Stiffness,VibrationIntensity,1.2,1,1.5,1.2,1.263157894736842
11,Stiffness,VibrationPattern,100,1,200,0.95,0.9382716049382716
11,Stiffness,VibrationPattern,100,1,100,1.0,0.9876543209876544
11,Stiffness,VibrationPattern,100,1,150,0.9,0.888888888888889
11,Stiffness,VibrationPattern,100,1,50,1.2,1.1851851851851851
11,Speed,VibrationDuration,300,1,180,1.05,0.9438202247191011
11,Speed,VibrationDuration,300,1,240,1.25,1.1235955056179774
11,Speed,VibrationDuration,300,1,300,1.1,0.9887640449438203
11,Speed,VibrationDuration,300,1,360,1.05,0.9438202247191011
11,Speed,VibrationIntensity,1.2,1,0.6,0.5,0.547945205479452
11,Speed,VibrationIntensity,1.2,1,0.9,1.0,1.095890410958904
11,Speed,VibrationIntensity,1.2,1,1.2,1.0,1.095890410958904
11,Speed,VibrationIntensity,1.2,1,1.5,1.15,1.2602739726027397
11,Speed,VibrationPattern,100,1,200,0.75,0.7894736842105263
11,Speed,VibrationPattern,100,1,100,1.0,1.0526315789473684
11,Speed,VibrationPattern,100,1,150,1.05,1.105263157894737
11,Speed,VibrationPattern,100,1,50,1.0,1.0526315789473684
11,Weight,VibrationDuration,300,1,180,0.55,0.6470588235294118
11,Weight,VibrationDuration,300,1,240,0.75,0.8823529411764706
11,Weight,VibrationDuration,300,1,300,1.0,1.1764705882352942
11,Weight,VibrationDuration,300,1,360,1.1,1.2941176470588236
11,Weight,VibrationIntensity,1.2,1,0.6,0.5,0.5882352941176471
11,Weight,VibrationIntensity,1.2,1,0.9,0.9,1.0588235294117647
11,Weight,VibrationIntensity,1.2,1,1.2,1.0,1.1764705882352942
11,Weight,VibrationIntensity,1.2,1,1.5,1.0,1.1764705882352942
11,Weight,VibrationPattern,100,1,200,0.9,1.0000000000000002
11,Weight,VibrationPattern,100,1,100,1.0,1.1111111111111112
11,Weight,VibrationPattern,100,1,150,0.9,1.0000000000000002
11,Weight,VibrationPattern,100,1,50,0.8,0.8888888888888891
1,Magnitude,VibrationDuration,300,10,180,9.0,0.9266409266409266
1,Magnitude,VibrationDuration,300,10,240,9.85,1.014157014157014
1,Magnitude,VibrationDuration,300,10,300,10.0,1.0296010296010296
1,Magnitude,VibrationDuration,300,10,360,10.0,1.0296010296010296
1,Magnitude,VibrationIntensity,1.2,10,0.6,4.4,0.5269461077844312
1,Magnitude,VibrationIntensity,1.2,10,0.9,8.25,0.9880239520958084
1,Magnitude,VibrationIntensity,1.2,10,1.2,10.0,1.1976047904191618
1,Magnitude,VibrationIntensity,1.2,10,1.5,10.75,1.2874251497005988
1,Magnitude,VibrationPattern,100,10,200,9.5,1.0133333333333334
1,Magnitude,VibrationPattern,100,10,100,8.5,0.9066666666666666
1,Magnitude,VibrationPattern,100,10,150,9.5,1.0133333333333334
1,Magnitude,VibrationPattern,100,10,50,10.0,1.0666666666666667
1,Size,VibrationDuration,300,10,180,7.25,0.7859078590785908
1,Size,VibrationDuration,300,10,240,9.25,1.0027100271002711
1,Size,VibrationDuration,300,10,300,10.0,1.0840108401084012
1,Size,VibrationDuration,300,10,360,10.4,1.1273712737127373
1,Size,VibrationIntensity,1.2,10,0.6,5.0,0.6015037593984962
1,Size,VibrationIntensity,1.2,10,0.9,7.75,0.9323308270676691
1,Size,VibrationIntensity,1.2,10,1.2,10.0,1.2030075187969924
1,Size,VibrationIntensity,1.2,10,1.5,10.5,1.263157894736842
1,Size,VibrationPattern,100,10,200,10.0,1.0
1,Size,VibrationPattern,100,10,100,9.5,0.95
1,Size,VibrationPattern,100,10,150,9.5,0.95
1,Size,VibrationPattern,100,10,50,11.0,1.1
1,Stiffness,VibrationDuration,300,10,180,11.0,1.0731707317073171
1,Stiffness,VibrationDuration,300,10,240,10.5,1.024390243902439
1,Stiffness,VibrationDuration,300,10,300,10.0,0.975609756097561
1,Stiffness,VibrationDuration,300,10,360,9.5,0.926829268292683
1,Stiffness,VibrationIntensity,1.2,10,0.6,6.5,0.7272727272727273
1,Stiffness,VibrationIntensity,1.2,10,0.9,8.5,0.951048951048951
1,Stiffness,VibrationIntensity,1.2,10,1.2,10.0,1.118881118881119
1,Stiffness,VibrationIntensity,1.2,10,1.5,10.75,1.2027972027972027
1,Stiffness,VibrationPattern,100,10,200,10.5,1.0059880239520957
1,Stiffness,VibrationPattern,100,10,100,10.0,0.9580838323353293
1,Stiffness,VibrationPattern,100,10,150,11.0,1.0538922155688624
1,Stiffness,VibrationPattern,100,10,50,10.25,0.9820359281437125
1,Speed,VibrationDuration,300,10,180,7.0,0.8
1,Speed,VibrationDuration,300,10,240,8.0,0.9142857142857143
1,Speed,VibrationDuration,300,10,300,10.0,1.1428571428571428
1,Speed,VibrationDuration,300,10,360,10.0,1.1428571428571428
1,Speed,VibrationIntensity,1.2,10,0.6,5.0,0.6106870229007634
1,Speed,VibrationIntensity,1.2,10,0.9,6.25,0.7633587786259542
1,Speed,VibrationIntensity,1.2,10,1.2,10.0,1.2213740458015268
1,Speed,VibrationIntensity,1.2,10,1.5,11.5,1.4045801526717556
1,Speed,VibrationPattern,100,10,200,10.0,1.0126582278481013
1,Speed,VibrationPattern,100,10,100,9.5,0.9620253164556962
1,Speed,VibrationPattern,100,10,150,9.5,0.9620253164556962
1,Speed,VibrationPattern,100,10,50,10.5,1.0632911392405062
1,Weight,VibrationDuration,300,10,180,7.5,0.8108108108108109
1,Weight,VibrationDuration,300,10,240,9.5,1.027027027027027
1,Weight,VibrationDuration,300,10,300,10.0,1.0810810810810811
1,Weight,VibrationDuration,300,10,360,10.0,1.0810810810810811
1,Weight,VibrationIntensity,1.2,10,0.6,4.75,0.5671641791044776
1,Weight,VibrationIntensity,1.2,10,0.9,7.25,0.8656716417910447
1,Weight,VibrationIntensity,1.2,10,1.2,10.5,1.2537313432835822
1,Weight,VibrationIntensity,1.2,10,1.5,11.0,1.3134328358208955
1,Weight,VibrationPattern,100,10,200,10.0,0.975609756097561
1,Weight,VibrationPattern,100,10,100,10.9,1.0634146341463415
1,Weight,VibrationPattern,100,10,150,10.0,0.975609756097561
1,Weight,VibrationPattern,100,10,50,10.1,0.9853658536585366
2,Magnitude,VibrationDuration,300,2,180,1.8,0.9473684210526316
2,Magnitude,VibrationDuration,300,2,240,1.9,1.0
2,Magnitude,VibrationDuration,300,2,300,1.9,1.0
2,Magnitude,VibrationDuration,300,2,360,2.0,1.0526315789473684
2,Magnitude,VibrationIntensity,1.2,100,0.6,35.0,0.417910447761194
2,Magnitude,VibrationIntensity,1.2,100,0.9,65.0,0.7761194029850746
2,Magnitude,VibrationIntensity,1.2,100,1.2,110.0,1.3134328358208955
2,Magnitude,VibrationIntensity,1.2,100,1.5,125.0,1.492537313432836
2,Magnitude,VibrationPattern,100,100,200,97.5,1.0
2,Magnitude,VibrationPattern,100,100,100,100.0,1.0256410256410255
2,Magnitude,VibrationPattern,100,100,150,92.5,0.9487179487179487
2,Magnitude,VibrationPattern,100,100,50,100.0,1.0256410256410255
2,Size,VibrationDuration,300,100,180,90.0,0.935064935064935
2,Size,VibrationDuration,300,100,240,90.0,0.935064935064935
2,Size,VibrationDuration,300,100,300,100.0,1.0389610389610389
2,Size,VibrationDuration,300,100,360,105.0,1.0909090909090908
2,Size,VibrationIntensity,1.2,100,0.6,35.0,0.4375
2,Size,VibrationIntensity,1.2,100,0.9,70.0,0.875
2,Size,VibrationIntensity,1.2,100,1.2,100.0,1.25
2,Size,VibrationIntensity,1.2,100,1.5,115.0,1.4375
2,Size,VibrationPattern,100,100,200,95.0,0.9595959595959596
2,Size,VibrationPattern,100,100,100,100.0,1.0101010101010102
2,Size,VibrationPattern,100,100,150,100.0,1.0101010101010102
2,Size,VibrationPattern,100,100,50,101.0,1.02020202020202
2,Stiffness,VibrationDuration,300,100,180,103.5,1.0388958594730238
2,Stiffness,VibrationDuration,300,100,240,95.0,0.9535759096612296
2,Stiffness,VibrationDuration,300,100,300,100.0,1.0037641154328734
